event,peak_time,peak_val,minc,maxc,alert_streak,error_streak
ALERT,1200.0,1.8934346,1.8153101799999998,2.1447676800000006,3,0
ALERT,1230.0,1.903337,1.8153101799999998,2.1447676800000006,4,0
ALERT,6090.0,2.2978676,1.8153101799999998,2.1447676800000006,3,2
ERROR,6090.0,2.2978676,1.8153101799999998,2.1447676800000006,3,2
ALERT,6120.0,2.2978676,1.8153101799999998,2.1447676800000006,4,3
ERROR,6120.0,2.2978676,1.8153101799999998,2.1447676800000006,4,3
ALERT,6150.0,1.8538248,1.8153101799999998,2.1447676800000006,5,0
ALERT,7620.0,2.0117416,1.8153101799999998,2.1447676800000006,3,0
ALERT,7650.0,1.929917,1.8153101799999998,2.1447676800000006,4,0
ALERT,10380.0,2.2968258,1.8153101799999998,2.1447676800000006,3,2
ERROR,10380.0,2.2968258,1.8153101799999998,2.1447676800000006,3,2
ALERT,11070.0,2.1571506,1.8153101799999998,2.1447676800000006,3,1
ALERT,11100.0,2.0497878,1.8153101799999998,2.1447676800000006,4,0
ALERT,20340.0,1.8569518,1.8153101799999998,2.1447676800000006,3,0
ALERT,21570.0,2.6267306,1.8153101799999998,2.1447676800000006,3,2
ERROR,21570.0,2.6267306,1.8153101799999998,2.1447676800000006,3,2
ALERT,21600.0,2.365621,1.8153101799999998,2.1447676800000006,4,3
ERROR,21600.0,2.365621,1.8153101799999998,2.1447676800000006,4,3
ALERT,21630.0,2.1071174,1.8153101799999998,2.1447676800000006,5,0
ALERT,21810.0,1.9538912,1.8153101799999998,2.1447676800000006,3,0
ALERT,21840.0,1.97109,1.8153101799999998,2.1447676800000006,4,0
ERROR,22410.0,2.3452948,1.8153101799999998,2.1447676800000006,2,2
ALERT,22530.0,1.97109,1.8153101799999998,2.1447676800000006,3,0
ALERT,22560.0,2.2144796,1.8153101799999998,2.1447676800000006,4,1
ALERT,22590.0,2.2144796,1.8153101799999998,2.1447676800000006,5,2
ERROR,22590.0,2.2144796,1.8153101799999998,2.1447676800000006,5,2
ALERT,22620.0,2.0888758000000003,1.8153101799999998,2.1447676800000006,6,0
ALERT,22650.0,1.998712,1.8153101799999998,2.1447676800000006,7,0
ALERT,23430.0,2.1399512,1.8153101799999998,2.1447676800000006,3,0
ALERT,23460.0,1.8199486,1.8153101799999998,2.1447676800000006,4,0
ALERT,23970.0,2.017996,1.8153101799999998,2.1447676800000006,3,0
ALERT,24000.0,2.3484222,1.8153101799999998,2.1447676800000006,4,1
ALERT,24030.0,2.3484222,1.8153101799999998,2.1447676800000006,5,2
ERROR,24030.0,2.3484222,1.8153101799999998,2.1447676800000006,5,2
ALERT,28290.0,1.9471158,1.8153101799999998,2.1447676800000006,3,0
ALERT,28320.0,1.9471158,1.8153101799999998,2.1447676800000006,4,0
ALERT,30480.0,2.1931106,1.8153101799999998,2.1447676800000006,3,2
ERROR,30480.0,2.1931106,1.8153101799999998,2.1447676800000006,3,2
ALERT,30990.0,1.9356502,1.8153101799999998,2.1447676800000006,3,0
ALERT,31020.0,1.9356502,1.8153101799999998,2.1447676800000006,4,0
ALERT,31650.0,1.9856828,1.8153101799999998,2.1447676800000006,3,0
ALERT,31920.0,1.8574734,1.8153101799999998,2.1447676800000006,3,0
ALERT,31950.0,1.8637276,1.8153101799999998,2.1447676800000006,4,0
ALERT,33630.0,1.8460074,1.8153101799999998,2.1447676800000006,3,0
ALERT,33660.0,2.149332,1.8153101799999998,2.1447676800000006,4,1
ALERT,33690.0,2.1847716,1.8153101799999998,2.1447676800000006,5,2
ERROR,33690.0,2.1847716,1.8153101799999998,2.1447676800000006,5,2
ALERT,33720.0,1.9564964,1.8153101799999998,2.1447676800000006,6,0
